"title","usd_cost_range","cad_cost_range","cad_price_range","stock","shopify_product_id","handle","shopify_status","launch_tag","variant_count","risk_flags","gate_decision","reconciliation"
"Outdoor Cycling Sunglasses","4.56 ~ 4.78","6.43~6.74","16.49~17.62","1012","9326919024890","scvcn-new-outdoor-cycling-sunglasses-men-road-driving-bike-glasses-sports-mountain-climbing-women-bicycle-cycling-uv400-goggles","DRAFT","no","30","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"1-20Packs 100Pcs/Pack Wooden Sticks Baby Cotton Swabs Cleaning of Ears Tampons Health Beauty Cotton Swab Cleaning Cotton Buds","2.97 ~ 12.3","4.19~17.35","10.51~45.18","1000161","9326918926586","1-20packs-100pcs-pack-wooden-sticks-baby-cotton-swabs-cleaning-of-ears-tampons-health-beauty-cotton-swab-cleaning-cotton-buds","DRAFT","no","13","child_safety;medical_health;hygiene_beauty","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Magnetic Hair Clip","3.24 ~ 5.12","4.57~7.22","11.29~18.04","14","9326918828282","1-2pcs-magnetic-hair-clip-invisible-strong-hold-2-in-1-design-for-fine-and-thick-hair-styling-accessory-practical-gift-for-women","DRAFT","no","5","hygiene_beauty","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Compact Bicycle Bell","1.78 ~ 2.58","2.51~3.64","14.99","536","9326918795514","compact-bicycle-bell","ACTIVE","yes","6","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Everyday Zip Hoodie","6.71 ~ 9.99","9.46~14.09","24.49~35.13","366","9326918729978","zipper-hoodies-autumn-winter-mens-new-long-sleeve-hooded-sweatshirt-fashion-casual-male-outfit-sportwear-loose-fit-clothes","ACTIVE","yes","18","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Men's High-Neck Knit Sweater","10.72 ~ 13.51","15.12~19.05","39.99~44.49","24868","9326918598906","2026-new-mens-high-neck-sweater-solid-color-pullover-knitted-warm-casual-turtleneck-sweatwear-woolen-mens-winter-outdoor-tops","ACTIVE","yes","54","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Everyday Polarized Sunglasses","6.22 ~ 8.28","8.77~11.68","29.99","104281","9326918664442","nd-dimming-glasses-polarized-sunglasses-men-women-round-retro-punk-driving-eyeglasses-outdoor-shades-uv400-adjustable-eyewear","ACTIVE","yes","3","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Men's Cotton-Linen Wide-Leg Pants","8.18 ~ 11.07","11.54~15.61","39.40","111940","9326918303994","2025-summer-mens-cotton-and-linen-oversized-wide-leg-pants-mens-artistic-style-elastic-waist-solid-color-casual-loose-pants","ACTIVE","yes","100","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"21 Heated Vest Zones Electric Heated Jackets Men Women Sportswear Heated Coat Graphene Heat Coat USB Heating Jacket For Camping","15.32 ~ 31.14","21.61~43.92","53.94~109.67","716","9326918467834","21-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","no","32","electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Summer Men's Shorts Cool Sportswear Running Sport Shorts Casual Bottoms Gym Fitness Training Jogging Short Pants Men Black Gray","3.44 ~ 5.66","4.85~7.98","12.66~20.78","1116","9326918402298","summer-mens-shorts-cool-sportswear-running-sport-shorts-casual-bottoms-gym-fitness-training-jogging-short-pants-men-black-gray","DRAFT","no","72","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Everyday 100% Cotton T-Shirt","19.02 ~ 21.55","26.82~30.39","45.99","37","9326918369530","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","DRAFT","no","18","","HOLD_REPRICE_OR_REJECT","EXACT_TITLE_MATCH"
"Everyday Pullover Hoodie","15.76 ~ 19.78","22.23~27.89","54.99","299957","9326918074618","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","DRAFT","no","48","","HOLD_REPRICE_OR_REJECT","EXACT_TITLE_MATCH"
"Car Sun Visor Organizer","1.16 ~ 2.3","1.64~3.24","14.99","53","9326918271226","sun-visor-organizer-clip","ACTIVE","yes","3","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Thermal Underwear Tops Men Winter Clothes Thermal Shirt Autumn Men's Winter Tights High Neck Thin Slim Fit Long Sleeve T-shirt","4.09 ~ 5.53","5.77~7.80","14.38~19.48","1163","9326918009082","thermal-underwear-tops-men-winter-clothes-thermal-shirt-autumn-mens-winter-tights-high-neck-thin-slim-fit-long-sleeve-t-shirt","DRAFT","no","42","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Adjustable Rhinestone Ring","2.44 ~ 2.5","3.44~3.53","14.99","44","9326918205690","minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts","ACTIVE","yes","2","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"9 Heated Vest Zones Electric Heated Jackets Men Women","18.35 ~ 20.74","25.88~29.25","54.99","79","9326917943546","9-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","no","12","electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Precision Nail Clippers","1.42 ~ 2.2","2.00~3.10","12.99","2","9326917976314","large-opening-nail-clippers-gray-nail-trimmer-thick-nails-for-the-elderly-individual-household-nail-clippers-durable","ACTIVE","yes","2","hygiene_beauty","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Long-Sleeve Performance Tee","5.84 ~ 7.98","8.24~11.25","22.99~29.04","239","9326917779706","men-bodybuilding-sport-t-shirt-quick-dry-running-shirt-long-sleeve-compression-top-gym-t-shirt-men-fitness-tight-rashgard","ACTIVE","yes","35","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"2024 Mens Print Pants Autumn/Winter New In Men's Clothing Trousers Sport Jogging Fitness Running Trousers Harajuku Streetwear","6.2 ~ 7.63","8.74~10.76","22.78~28.02","160","9326917845242","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","DRAFT","no","18","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Everyday Fleece Joggers","8.36 ~ 11.84","11.79~16.70","28.23~39.98","510","9326917681402","hot-sales-mens-sweatpants-printing-casual-pants-outdoor-gym-sports-jogging-pants-autumn-winter-man-trousers-fitness-sportswear","ACTIVE","yes","21","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"New Heated Rivalry Hockey Jersey Long Sleeves Tee Men's","10.37 ~ 11.38","14.62~16.05","52.99","3929","9326917648634","new-heated-rivalry-hockey-jersey-long-sleeves-tee-mens-womens-rozanov-hollander-t-shirt-unisex-tops-pullovers","DRAFT","no","21","electrical","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Quick-Dry Training Shorts","5.17 ~ 6.95","7.29~9.80","25.99","9976","9326917583098","running-shorts-summer-gym-sportswear-men-jogging-outdoor-sports-shorts-fitness-man-quick-dry-breathable-pants-male-clothing","ACTIVE","yes","54","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Breezy Everyday Pants","6.3 ~ 9.08","8.88~12.81","24.49~33.40","12497","9326917550330","ice-silk-mens-pants-2025-summer-new-black-gray-thin-business-casual-pants-outdoor-elastic-breathable-straight-leg-sweatpants","ACTIVE","yes","28","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Everyday Performance Shorts","9.74 ~ 15.62","13.74~22.03","34.32~54.99","780","9326917517562","clearance_summer-running-shorts-for-men-casual-jogging-sport-short-pants-wave-pattern-solid-color-drawstring-loose-dry-gym-sport","ACTIVE","yes","21","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Multi-Use Organizer Hooks","1.62 ~ 3.07","2.28~4.33","14.99~15.49","15","9326917452026","2pcs-leather-cart-hooks-baby-stroller-hook-pu-adjustable-pram-hook-organizer-diaper-bag-hanger-children-travel-accessories","ACTIVE","yes","4","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Long-Handle Bottle Brush","0.96 ~ 1.84","1.35~2.59","11.99","25","9326917419258","long-handle-silicone-bottle-brush-cleaning-brush-kitchen-cleaning-cup-brush-thermos-glass-brush-cleaning-tools","ACTIVE","yes","2","","LIVE_QUOTE_REQUIRED","EXACT_TITLE_MATCH"
"Summer Men's MJ Michael Jackson Printed 100%CottonNeutral","10.11 ~ 11.29","14.26~15.92","32.99","4292","9326917320954","summer-mens-mj-michael-jackson-printed-100-cottonneutral-o-neck-short-sleeve-mens-and-womens-fashion-hip-hop-t-shirt-fan-gift","DRAFT","no","7","","DRAFT_QUOTE_AND_CONTENT_REVIEW","EXACT_TITLE_MATCH"
"Bath Toy Storage Mesh","4.26 ~ 4.75","6.01~6.70","19.99","25","9326917255418","baby-shower-bath-toys-white-baby-kids-toy-storage-mesh-with-strong-suction-cups-toy-bag-net-bathroom-organizer-for-kids-toddlers","DRAFT","no","4","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Halloween Elsa Dress for Girls Children Party Princess Costume Kids Disguise with Long Cloak Girl Snow Queen Carnival Clothes","10.1 ~ 23.11","14.24~32.59","35.55~81.36","355","9326917157114","halloween-elsa-dress-for-girls-children-party-princess-costume-kids-disguise-with-long-cloak-girl-snow-queen-carnival-clothes","DRAFT","no","29","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Head Back Protector Baby Protect Pillow Learn Walk Head","23.65","33.35","83.23","2","9326917288186","head-back-protector-baby-protect-pillow-learn-walk-head-protector-cushion-anti-fall-backward-cap-carry-cartoon-kids-safe-bibi","DRAFT","no","1","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Summer Spring Candy Color Kids Pantyhose Ballet Dance Tights for Girls Stocking Children Velvet Solid White Pantyhose","2.24 ~ 2.38","3.16~3.36","8.19~8.76","9194","9326916993274","summer-spring-candy-color-kids-pantyhose-ballet-dance-tights-for-girls-stocking-children-velvet-solid-white-pantyhose","DRAFT","no","39","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Baby head pillow anti-fall device Head protective pad summer anti-bump head learning to walk baby four seasons toddler hat","4.2 ~ 4.38","5.92~6.18","14.77~15.44","6","9326917124346","baby-head-pillow-anti-fall-device-head-protective-pad-summer-anti-bump-head-learning-to-walk-baby-four-seasons-toddler-hat","DRAFT","no","4","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"New Girl Dresses Princess Costume Kids Mermaid Cosplay Costume Kids Carnival Birthday Party Prom Costume Party Dresses For girls","9.56 ~ 31.54","13.48~44.48","33.68~111.00","395","9326916927738","new-girl-dresses-princess-costume-kids-mermaid-cosplay-costume-kids-carnival-birthday-party-prom-costume-party-dresses-for-girls","DRAFT","no","20","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Windproof Infant Stroller Gloves Children's Outdoor Sports Mittens Cartoon Printed Hands Warmer Scooter Accessory for Winter","6.24 ~ 6.66","8.80~9.39","21.94~23.45","37","9326917058810","windproof-infant-stroller-gloves-childrens-outdoor-sports-mittens-cartoon-printed-hands-warmer-scooter-accessory-for-winter","DRAFT","no","4","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Baby Music Activity Gym Rug Play Mat Newborn Carpet Pedal","13.07 ~ 13.96","18.43~19.69","48.03~49.12","4","9326916796666","baby-music-activity-gym-rug-play-mat-newborn-carpet-pedal-piano-keyboard-infant-fitness-rack-playmat-crawling-game-pad-toys-gift","DRAFT","no","14","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"1PCS Baby Anti-Fall Head Protection Pillow, Breathable Toddler Safety Cushion, Soft Head Guard Pad for Kids Learning to Walk, Sh","6.29 ~ 15.72","8.87~22.17","23.03~57.73","13","9326916894970","1pcs-baby-anti-fall-head-protection-pillow-breathable-toddler-safety-cushion-soft-head-guard-pad-for-kids-learning-to-walk-sh","DRAFT","no","4","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Rhinitis Nasal Irrigator Washing for Children Silicone Baby Nasal Aspirator Syringe Baby Nose Cleaner Kids Nasal Washer Reusable","1.92 ~ 4.1","2.71~5.78","7.07~15.05","6978","9326916763898","rhinitis-nasal-irrigator-washing-for-children-silicone-baby-nasal-aspirator-syringe-baby-nose-cleaner-kids-nasal-washer-reusable","DRAFT","no","16","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
"Kids Toddler Foot Measure Gauge Shoes Size Measuring Ruler Tool Baby Boy Girl Children's Foot Length Measuring Ruler Fittings","1.69 ~ 2.59","2.38~3.65","5.91~9.11","39","9326916829434","kids-toddler-foot-measure-gauge-shoes-size-measuring-ruler-tool-baby-boy-girl-childrens-foot-length-measuring-ruler-fittings","DRAFT","no","5","child_safety","HOLD_RISK_REVIEW","EXACT_TITLE_MATCH"
