"country","product_title","handle","variant_title","sku","current_storefront_price","supplier_cost_basis","shipping_cost_basis","shipping_evidence","minimum_price","recommended_action_price","price_change","price_action_required","quote_result","disposition","formula"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / L","14:193#Black;5:361385","45.99","22.85","3.03","VERIFIED_CANADA_DSERs_QUOTE","49.83","49.99","4.00","yes","FAIL_NO_SHIPPING","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / M","14:193#Black;5:361386","45.99","27.37","3.03","VERIFIED_CANADA_DSERs_QUOTE","58.44","58.99","13.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / S","14:193#Black;5:100014064","45.99","26.79","3.03","VERIFIED_CANADA_DSERs_QUOTE","57.33","57.99","12.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / XL","14:193#Black;5:100014065","45.99","28.89","3.03","VERIFIED_CANADA_DSERs_QUOTE","61.33","61.99","16.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / XXL","14:193#Black;5:4182","45.99","29.24","3.03","VERIFIED_CANADA_DSERs_QUOTE","62.00","62.99","17.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","Black / XXXL","14:193#Black;5:4183","45.99","30.35","3.03","VERIFIED_CANADA_DSERs_QUOTE","64.11","64.99","19.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / L","14:771#White;5:361385","45.99","27.88","3.03","VERIFIED_CANADA_DSERs_QUOTE","59.41","59.99","14.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / M","14:771#White;5:361386","45.99","27.37","3.03","VERIFIED_CANADA_DSERs_QUOTE","58.44","58.99","13.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / S","14:771#White;5:100014064","45.99","26.79","3.03","VERIFIED_CANADA_DSERs_QUOTE","57.33","57.99","12.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / XL","14:771#White;5:100014065","45.99","28.80","3.03","VERIFIED_CANADA_DSERs_QUOTE","61.16","61.99","16.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / XXL","14:771#White;5:4182","45.99","29.80","3.03","VERIFIED_CANADA_DSERs_QUOTE","63.06","63.99","18.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday 100% Cotton T-Shirt","100-pure-cotton-t-shirt-with-round-neck-shoulder-design-for-both-men-women-summer-solid-color-short-sleeved-casual-loose-fit","White / XXXL","14:771#White;5:4183","45.99","29.68","3.03","VERIFIED_CANADA_DSERs_QUOTE","62.83","62.99","17.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","L / BLACK","14:193#BLACK;5:361385","25.99","9.97","3.03","VERIFIED_CANADA_QUOTE","25.32","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","L / GREY","14:691#GREY;5:361385","25.99","9.86","3.03","VERIFIED_CANADA_QUOTE","25.11","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","L / NAVY","14:200006157#NAVY;5:361385","25.99","9.92","3.03","VERIFIED_CANADA_QUOTE","25.22","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","M / BLACK","14:193#BLACK;5:361386","28.02","9.13","3.03","VERIFIED_CANADA_QUOTE","23.72","28.02","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","M / GREY","14:691#GREY;5:361386","28.02","9.11","3.03","VERIFIED_CANADA_QUOTE","23.68","28.02","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","M / NAVY","14:200006157#NAVY;5:361386","28.02","11.21","3.03","VERIFIED_CANADA_QUOTE","27.68","28.02","0.00","no","PASS_REPRESENTATIVE_SAMPLE","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","S / BLACK","14:193#BLACK;5:100014064","24.99","9.63","3.03","VERIFIED_CANADA_QUOTE","24.67","24.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","S / GREY","14:691#GREY;5:100014064","24.99","9.69","3.03","VERIFIED_CANADA_QUOTE","24.78","24.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","S / NAVY","14:200006157#NAVY;5:100014064","24.99","9.62","3.03","VERIFIED_CANADA_QUOTE","24.65","24.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XL / BLACK","14:193#BLACK;5:100014065","27.53","11.01","3.03","VERIFIED_CANADA_QUOTE","27.30","27.53","0.00","no","PASS_REPRESENTATIVE_SAMPLE","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XL / GREY","14:691#GREY;5:100014065","27.53","10.03","3.03","VERIFIED_CANADA_QUOTE","25.43","27.53","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XL / NAVY","14:200006157#NAVY;5:100014065","27.53","9.97","3.03","VERIFIED_CANADA_QUOTE","25.32","27.53","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXL / BLACK","14:193#BLACK;5:4182","25.99","9.97","3.03","VERIFIED_CANADA_QUOTE","25.32","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXL / GREY","14:691#GREY;5:4182","25.99","10.30","3.03","VERIFIED_CANADA_QUOTE","25.94","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXL / NAVY","14:200006157#NAVY;5:4182","25.99","10.17","3.03","VERIFIED_CANADA_QUOTE","25.70","25.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXXL / BLACK","14:193#BLACK;5:4183","26.99","10.38","3.03","VERIFIED_CANADA_QUOTE","26.10","26.99","0.00","no","FAIL_REPRICE_REQUIRED","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXXL / GREY","14:691#GREY;5:4183","26.99","10.75","3.03","VERIFIED_CANADA_QUOTE","26.80","26.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Printed Joggers","2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear","XXXL / NAVY","14:200006157#NAVY;5:4183","26.99","10.69","3.03","VERIFIED_CANADA_QUOTE","26.69","26.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","CANADA_FIXED_PRICE_VALIDATED","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color","14:366#image color;5:361385","54.99","25.70","3.03","VERIFIED_CANADA_DSERs_QUOTE","55.26","55.99","1.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 1","14:29#image color;5:361385","54.99","25.70","3.03","VERIFIED_CANADA_DSERs_QUOTE","55.26","55.99","1.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 2","14:1254#image color;5:361385","54.99","25.70","3.03","VERIFIED_CANADA_DSERs_QUOTE","55.26","55.99","1.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 3","14:1052#image color;5:361385","54.99","25.70","3.03","VERIFIED_CANADA_DSERs_QUOTE","55.26","55.99","1.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 4","14:771#image color;5:361385","54.99","24.50","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 5","14:350850#image color;5:361385","54.99","24.29","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.57","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 6","14:193#image color;5:361385","54.99","27.27","3.03","VERIFIED_CANADA_DSERs_QUOTE","58.25","58.99","4.00","yes","FAIL_REPRICE_REQUIRED","REPRICE_THEN_REVIEW","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","L / image color 7","14:691#image color;5:361385","54.99","24.84","3.03","VERIFIED_CANADA_DSERs_QUOTE","53.62","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color","14:366#image color;5:361386","54.99","23.15","3.03","VERIFIED_CANADA_DSERs_QUOTE","50.40","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 1","14:29#image color;5:361386","54.99","25.55","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 2","14:1254#image color;5:361386","54.99","25.55","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 3","14:1052#image color;5:361386","54.99","25.55","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 4","14:771#image color;5:361386","54.99","25.55","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 5","14:350850#image color;5:361386","54.99","24.46","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.90","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 6","14:193#image color;5:361386","54.99","25.44","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.76","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","M / image color 7","14:691#image color;5:361386","54.99","25.55","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.97","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color","14:366#image color;5:100014064","54.99","23.94","3.03","VERIFIED_CANADA_DSERs_QUOTE","51.91","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 1","14:29#image color;5:100014064","54.99","25.40","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.69","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 2","14:1254#image color;5:100014064","54.99","24.19","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.38","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 3","14:1052#image color;5:100014064","54.99","24.18","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.37","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 4","14:771#image color;5:100014064","54.99","25.40","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.69","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 5","14:350850#image color;5:100014064","54.99","25.40","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.69","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 6","14:193#image color;5:100014064","54.99","24.02","3.03","VERIFIED_CANADA_DSERs_QUOTE","52.06","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
"CA","Everyday Pullover Hoodie","mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size","S / image color 7","14:691#image color;5:100014064","54.99","25.40","3.03","VERIFIED_CANADA_DSERs_QUOTE","54.69","54.99","0.00","no","PASS_REPRESENTATIVE_SAMPLE","PRICE_PASSES_CURRENT_GATE","(supplier_cost + shipping + 0.30) / 0.52535"
