"sequence","tranche","product","handle","current_status","workstream","current_decision","required_action","completion_test"
"21","6_RISK_EVIDENCE_OR_REJECT","1:64 RC Construction Vehicle Set","1-64-bluetooth-remote-control-crane-and-forklift-two-in-one-desktop-mini-alloy-toy-car-with-trailer-christmas-gift-in-color-box","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"22","6_RISK_EVIDENCE_OR_REJECT","15cm Women's Rabbit Fur Keychain Bag Car Pendant Jewelry Decoration Fashionable Accessory for Bags And Gifts","15cm-womens-rabbit-fur-keychain-bag-car-pendant-jewelry-decoration-fashionable-accessory-for-bags-and-gifts","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Verified material/species origin, lawful sourcing/import evidence, and accurate disclosure; otherwise reject.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"23","6_RISK_EVIDENCE_OR_REJECT","1PCS Baby Anti-Fall Head Protection Pillow, Breathable Toddler Safety Cushion, Soft Head Guard Pad for Kids Learning to Walk, Sh","1pcs-baby-anti-fall-head-protection-pillow-breathable-toddler-safety-cushion-soft-head-guard-pad-for-kids-learning-to-walk-sh","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"24","6_RISK_EVIDENCE_OR_REJECT","2023 Fashion Men Watches Luxury Brand Fashion Mens Quartz Watch Luminous Hands Male Clock Big Dial Waterproof Man Wristwatch","2023-fashion-men-watches-luxury-brand-fashion-mens-quartz-watch-luminous-hands-male-clock-big-dial-waterproof-man-wristwatch","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Keep Draft; remove or substantiate waterproof/luminous/brand claims, verify battery/material specifications and labeling, then reconsider for quoting.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"25","6_RISK_EVIDENCE_OR_REJECT","21 Heated Vest Zones Electric Heated Jackets Men Women Sportswear Heated Coat Graphene Heat Coat USB Heating Jacket For Camping","21-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"26","6_RISK_EVIDENCE_OR_REJECT","9 Heated Vest Zones Electric Heated Jackets Men Women","9-heated-vest-zones-electric-heated-jackets-men-women-sportswear-heated-coat-graphene-heat-coat-usb-heating-jacket-for-camping","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"27","6_RISK_EVIDENCE_OR_REJECT","Baby head pillow anti-fall device Head protective pad summer anti-bump head learning to walk baby four seasons toddler hat","baby-head-pillow-anti-fall-device-head-protective-pad-summer-anti-bump-head-learning-to-walk-baby-four-seasons-toddler-hat","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"28","6_RISK_EVIDENCE_OR_REJECT","Baby Music Activity Gym Rug Play Mat Newborn Carpet Pedal","baby-music-activity-gym-rug-play-mat-newborn-carpet-pedal-piano-keyboard-infant-fitness-rack-playmat-crawling-game-pad-toys-gift","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"29","6_RISK_EVIDENCE_OR_REJECT","Bath Toy Storage Mesh","baby-shower-bath-toys-white-baby-kids-toy-storage-mesh-with-strong-suction-cups-toy-bag-net-bathroom-organizer-for-kids-toddlers","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"30","6_RISK_EVIDENCE_OR_REJECT","Cute Duck Night Light","cute-duck-night-light","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"31","6_RISK_EVIDENCE_OR_REJECT","Hand-Controlled Mini RC Drone","watch-wrist-hand-controlled-induction-rc-drone-mini-rechargeable-helicopter-with-led-lights","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"32","6_RISK_EVIDENCE_OR_REJECT","Head Back Protector Baby Protect Pillow Learn Walk Head","head-back-protector-baby-protect-pillow-learn-walk-head-protector-cushion-anti-fall-backward-cap-carry-cartoon-kids-safe-bibi","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"33","6_RISK_EVIDENCE_OR_REJECT","Jade Roller Face Massager","jade-roller-face-massager","DRAFT","H1_RISK_HOLD","MAPPED_SHIPPING_PASS_RISK_HOLD","Keep Draft for hygiene/beauty review and supplier-metadata synchronization; do not activate from shipping evidence alone.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"34","6_RISK_EVIDENCE_OR_REJECT","Nail Glue Phototherapy Pen UV Gel Brush Pen Acrylic Nail Art Painting Drawing Liner Brush Manicure Professionnel Brushes Tool","nail-glue-phototherapy-pen-uv-gel-brush-pen-acrylic-nail-art-painting-drawing-liner-brush-manicure-professionnel-brushes-tool","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Supplier ingredient/SDS and compliant labeling evidence, or confirmed non-chemical brush-only mapping.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"35","6_RISK_EVIDENCE_OR_REJECT","Pet Supplies Duck Goose Shoes Pet Cole Foot Poultry Boots Pet Duck Boots with Protective Soles Protective Shoe Set Pet Products","pet-supplies-duck-goose-shoes-pet-cole-foot-poultry-boots-pet-duck-boots-with-protective-soles-protective-shoe-set-pet-products","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Species-specific sizing, material, supervision, and welfare/safe-use evidence before reconsideration.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"36","6_RISK_EVIDENCE_OR_REJECT","Resistance Bands Set - Exercise & Fitness","resistance-bands-set-exercise-fitness","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"37","6_RISK_EVIDENCE_OR_REJECT","RGB LED Strip Lights 5m-30m with APP Control","rgb-led-strip-lights-5m-30m-with-app-control","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"38","6_RISK_EVIDENCE_OR_REJECT","Solar Fairy String Lights for Outdoor Decor","crystal-waterdrop-led-string-lights-solar-battery-usb-waterproof-outdoor-garden-decor","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"39","6_RISK_EVIDENCE_OR_REJECT","Summer Men's MJ Michael Jackson Printed 100%CottonNeutral","summer-mens-mj-michael-jackson-printed-100-cottonneutral-o-neck-short-sleeve-mens-and-womens-fashion-hip-hop-t-shirt-fan-gift","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Documented authorization or licensed supplier provenance; otherwise reject.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"40","6_RISK_EVIDENCE_OR_REJECT","USB Heated Cushion 43x43cm Electric Blanket","usb-heated-cushion-43x43cm-electric-blanket","ARCHIVED","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"41","6_RISK_EVIDENCE_OR_REJECT","Women Fake Piercing Nose Ring Hoop Septum Piercing Nose Clip Rock HipHoop Stainless Steel Magnet Fashion Body Jewelry Wholesale","women-fake-piercing-nose-ring-hoop-septum-piercing-nose-clip-rock-hiphoop-stainless-steel-magnet-fashion-body-jewelry-wholesale","DRAFT","H1_RISK_HOLD","HOLD_CONTENT_COMPLIANCE_REVIEW","Material composition, nickel/heavy-metal compliance evidence, and cleaned customer-facing content.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"42","6_RISK_EVIDENCE_OR_REJECT","ZWN 2.4G Remote Control Excavator Dump Truck RC Model Car Toy Professional Alloy Plastic Simulation Construction Vehicle for Kid","zwn-2-4g-remote-control-excavator-dump-truck-rc-model-car-toy-professional-alloy-plastic-simulation-construction-vehicle-for-kid","DRAFT","H1_RISK_HOLD","HOLD_RISK_REVIEW","Keep held until safety/claims/IP/compliance review is complete.","Required safety/compliance/IP evidence recorded and product approved, or final hold/reject/archive."
"43","7_ARCHIVE_CONFIRMED_REJECTS","1-20Packs 100Pcs/Pack Wooden Sticks Baby Cotton Swabs Cleaning of Ears Tampons Health Beauty Cotton Swab Cleaning Cotton Buds","1-20packs-100pcs-pack-wooden-sticks-baby-cotton-swabs-cleaning-of-ears-tampons-health-beauty-cotton-swab-cleaning-cotton-buds","DRAFT","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with complete supplier compliance documentation and legally reviewed claims.","Product archived and absent from launch channels."
"44","7_ARCHIVE_CONFIRMED_REJECTS","Halloween Elsa Dress for Girls Children Party Princess Costume Kids Disguise with Long Cloak Girl Snow Queen Carnival Clothes","halloween-elsa-dress-for-girls-children-party-princess-costume-kids-disguise-with-long-cloak-girl-snow-queen-carnival-clothes","DRAFT","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with documented licensed supplier provenance and children's apparel compliance evidence.","Product archived and absent from launch channels."
"45","7_ARCHIVE_CONFIRMED_REJECTS","New Heated Rivalry Hockey Jersey Long Sleeves Tee Men's","new-heated-rivalry-hockey-jersey-long-sleeves-tee-mens-womens-rozanov-hollander-t-shirt-unisex-tops-pullovers","DRAFT","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only with documented licensed supplier provenance.","Product archived and absent from launch channels."
"46","7_ARCHIVE_CONFIRMED_REJECTS","Rhinitis Nasal Irrigator Washing for Children Silicone Baby Nasal Aspirator Syringe Baby Nose Cleaner Kids Nasal Washer Reusable","rhinitis-nasal-irrigator-washing-for-children-silicone-baby-nasal-aspirator-syringe-baby-nose-cleaner-kids-nasal-washer-reusable","DRAFT","H5_CONFIRMED_CONTENT_COMPLIANCE_REJECT","REJECT_CONTENT_COMPLIANCE","Keep Draft and excluded; reconsider only after regulatory classification and complete supplier compliance documentation.","Product archived and absent from launch channels."
