title,handle,variantCount,sellableCount,availabilityRate,minMargin,caCoverage,usCoverage,contentReadiness,economicsScore,shippingScore,availabilityScore,simplicityScore,contentScore,totalScore,decision,testOrderPriority,caution,rank
Everyday Fleece Joggers,hot-sales-mens-sweatpants-printing-casual-pants-outdoor-gym-sports-jogging-pants-autumn-winter-man-trousers-fitness-sportswear,21,20,0.9523809523809523,0.3172382217499114,1.0,1.0,0.85,20.068586609989367,25,14.285714285714285,8,12.75,80.10430089570366,Launch catalog - secondary,Later,1 variant(s) unavailable; tightest sellable margin near 30%,11
Breezy Everyday Pants,ice-silk-mens-pants-2025-summer-new-black-gray-thin-business-casual-pants-outdoor-elastic-breathable-straight-leg-sweatpants,28,27,0.9642857142857143,0.31408758677011017,1.0,1.0,0.85,19.69051041241322,25,14.464285714285715,8,12.75,79.90479612669893,Launch catalog - secondary,Later,1 variant(s) unavailable; tightest sellable margin near 30%,12
Long-Sleeve Performance Tee,men-bodybuilding-sport-t-shirt-quick-dry-running-shirt-long-sleeve-compression-top-gym-t-shirt-men-fitness-tight-rashgard,35,32,0.9142857142857143,0.31035439456808755,1.0,1.0,0.85,19.24252734817051,25,13.714285714285714,8,12.75,78.70681306245623,Launch catalog - secondary,Later,3 variant(s) unavailable; tightest sellable margin near 30%,13
Long-Handle Bottle Brush,long-handle-silicone-bottle-brush-cleaning-brush-kitchen-cleaning-cup-brush-thermos-glass-brush-cleaning-tools,2,1,0.5,0.34743577981651375,1.0,1.0,0.9999999999999999,23.69229357798165,25,0,15,14.999999999999998,78.69229357798164,Launch catalog - secondary,Later,1 variant(s) unavailable,14
Men's High-Neck Knit Sweater,2026-new-mens-high-neck-sweater-solid-color-pullover-knitted-warm-casual-turtleneck-sweatwear-woolen-mens-winter-outdoor-tops,54,53,0.9814814814814815,0.30750795372378886,1.0,1.0,0.9999999999999999,18.900954446854666,25,14.722222222222223,5,14.999999999999998,78.62317666907688,Launch catalog - secondary,Later,1 variant(s) unavailable; 54-variant operational load; tightest sellable margin near 30%,15
Multi-Use Organizer Hooks,2pcs-leather-cart-hooks-baby-stroller-hook-pu-adjustable-pram-hook-organizer-diaper-bag-hanger-children-travel-accessories,4,2,0.5,0.3435126751167445,1.0,1.0,0.9999999999999999,23.22152101400934,25,0,15,14.999999999999998,78.22152101400934,Launch catalog - secondary,Later,2 variant(s) unavailable,16
Quick-Dry Training Shorts,running-shorts-summer-gym-sportswear-men-jogging-outdoor-sports-shorts-fitness-man-quick-dry-breathable-pants-male-clothing,54,53,0.9814814814814815,0.31507329742208523,1.0,1.0,0.85,19.80879569065023,25,14.722222222222223,5,12.75,77.28101791287244,Monitor before promotion,Later,1 variant(s) unavailable; 54-variant operational load; tightest sellable margin near 30%,17
Everyday Printed Joggers,2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear,18,18,1.0,0.3116104270873411,0.2222222222222222,1.0,0.9999999999999999,19.393251250480933,15.277777777777779,15.0,12,14.999999999999998,76.67102902825872,Monitor before promotion,Later,tightest sellable margin near 30%,18
Children's Foot Measuring Gauge,kids-toddler-foot-measure-gauge-shoes-size-measuring-ruler-tool-baby-boy-girl-childrens-foot-length-measuring-ruler-fittings,5,4,0.8,0.3340541401273885,0.0,1.0,0.9999999999999999,22.08649681528662,12.5,12.0,15,14.999999999999998,76.58649681528662,Monitor before promotion,Later,1 variant(s) unavailable; children?s sizing/category risk,19
Everyday Pullover Hoodie,mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size,48,48,1.0,0.30476913984360793,0.5416666666666666,1.0,0.9999999999999999,18.572296781232954,19.270833333333332,15.0,5,14.999999999999998,72.84313011456628,Monitor before promotion,Later,48-variant operational load; tightest sellable margin near 30%,20
