provisional_score,shopify_product_id,shopify_title,dsers_product_id,shopify_price_min_cad,shopify_price_max_cad,dsers_card_cost_min_cad,dsers_card_cost_max_cad,item_cost_only_headroom_pct_conservative,dsers_stock,canada_route_status,triage_status,risk_flags,evidence_limit
5,9351188873466,Oral Irrigator — 3 Cleaning Modes Portable Rechargeable Dental Water Jet,2085218997185675264,64.88,64.88,28.92,28.95,55.4,200,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
5,9351895777530,"Fingerprint Smart Padlock — Keyless USB Rechargeable Biometric Security Lock for Gym, School & Travel",2085218776103649280,103.92,103.92,22.45,78.71,24.3,200,Verified in DSers: AliExpress Selection Standard; CN; US $1.99; 8–13 days; tracking available,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
5,9351137362170,Brushless Electric Drill Kit — 21V Cordless Impact Driver with 2 Batteries & 30+ Accessories,2085219052449824768,134.47,134.47,64.60,67.41,49.9,319,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
2,9351895711994,"VGR V-071 Professional Hair Trimmer — Rechargeable Cordless Clipper for Beard, Hair & Body Grooming",2085218783376834560,159.82,159.82,21.80,21.80,86.4,16,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-3,9351434109178,"Zeblaze GTS 4 Voice Calling 1.94"" HD AMOLED Smart Watch 100+ Sports Modes Heart Rate SpO2",2085218832055861248,76.12,76.12,24.68,37.22,51.1,206,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-6,9351137394938,Trustfire GM23 Tactical Flashlight — 800 Lumen LED Mini Light,2085219045025841152,77.53,77.53,41.25,79.32,-2.3,2636,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-10,9351137329402,11-in-1 Electric Massage Gun — Deep Tissue Percussion Therapy for Muscle Recovery & Pain Relief,2085219060599029760,96.33,96.33,78.56,78.56,18.4,1998,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-10,9351433978106,4K UHD Dash Cam Wi-Fi GPS Built-in Night Vision 24H Parking Monitor Car DVR,2085218876695642112,110.32,110.32,64.03,109.53,0.7,39344,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-18,9351428407546,DENOKIN Portable Espresso Machine — Digital Display Battery-Powered Travel Coffee Maker for Camping & Office,2085218893594492929,144.35,144.35,90.58,105.45,26.9,10863,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-18,9351428276474,70mai Dash Cam M310 Plus — 2K 1440P HD Car Camera with Wi-Fi App Control & Night Vision,2085218909516333056,76.10,76.10,54.39,130.56,-71.6,4760,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-23,9341750968570,"Naturehike Waterproof Toiletry Bag — Large Capacity Travel Cosmetic Organizer for Camping, Gym & Beach",2083032587397234688,40.23,73.45,17.17,23.12,42.5,132,Not inspected,ROUTE PRIORITY: mapped; inspect exact SKU and Canada/US delivery,brand/resale authenticity review | confirmed copy/media mismatch,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
-23,9351434371322,KAWA Dash Cam MINI 3 2K DVR Voice Control Wi-Fi APP Night Vision Car Camera,2085218816331218944,110.32,110.32,66.45,204.97,-85.8,185,Not inspected,HOLD: item cost alone leaves under 30% before shipping/fees,high safety/returns/support review | electrical/battery/app review | brand/resale authenticity review | placeholder-like Shopify inventory,"DSers product-card range; exact variant, shipping, fees, returns and competition still required"
