dsers_product_id,shopify_product,native_cost,ca_cost,ca_price,dsers_stock,product_mapping_status,variant_mapping_status,canada_route_status,supplier_item
"2085218941523001344","Mini 2-in-1 Hair Straightener & Curling Iron — Cordless Travel Styling Tool with Ceramic Plates","$5.61 ~ 6.31","CA$ 7.83~8.80","CA$ 55.35","75660","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218934304604160","Wireless Milk Frother — USB Rechargeable 3-Speed Electric Whisk","$7.85 ~ 8.81","CA$ 10.95~12.29","CA$ 68.97","19978","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218927035678720","Original Lenovo GM2 Pro TWS Wireless Earbuds (LP40-compatible)","$14 ~ 20.49","CA$ 19.53~28.58","CA$ 107.80","300010","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218918345342976","Cordless Hair Straightener Brush — LCD Display Ceramic Heating Comb for Travel & Touch-Ups","$15.98","CA$ 22.29","CA$ 63.00","49988","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218909516333056","70mai Dash Cam M310 Plus — 2K 1440P HD Car Camera with Wi-Fi App Control & Night Vision","$38.99 ~ 93.59","CA$ 54.39~130.56","CA$ 76.10","4760","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218901899149312","Tesla Magnetic Phone Holder — Custom Fit for Model 3/Y/Highland Screen Mount with 360° Rotation","$16.37 ~ 34.46","CA$ 22.84~48.07","CA$ 74.85","3993","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218893594492929","DENOKIN Portable Espresso Machine — Digital Display Battery-Powered Travel Coffee Maker for Camping & Office","$64.93 ~ 75.59","CA$ 90.58~105.45","CA$ 144.35","10863","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218885243568128","Boykeep 2K Pet Dog Camera 5G/2.4GHz WiFi Indoor Security Baby Monitor 360 Pan Tilt 2-Way Audio Night Vision","$22.85 ~ 26.05","CA$ 31.88~36.34","CA$ 98.79","4655","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218876695642112","4K UHD Dash Cam Wi-Fi GPS Built-in Night Vision 24H Parking Monitor Car DVR","$45.9 ~ 78.51","CA$ 64.03~109.53","CA$ 110.32","39344","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218832055861248","Zeblaze GTS 4 Voice Calling 1.94"" HD AMOLED Smart Watch 100+ Sports Modes Heart Rate SpO2","$17.69 ~ 26.68","CA$ 24.68~37.22","CA$ 76.12","206","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218824753315840","Essager Magnetic Wireless Car Charger 15W MagSafe Holder Easy Paste Mount for iPhone 15 14 13 Pro Max","$12.44 ~ 15.32","CA$ 17.35~21.37","CA$ 66.69","9999","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218816331218944","KAWA Dash Cam MINI 3 2K DVR Voice Control Wi-Fi APP Night Vision Car Camera","$47.63 ~ 146.93","CA$ 66.45~204.97","CA$ 110.32","185","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218807250419712","Portable Fascia Gun Vibration Massage Gun For Body Neck Back","$20.95","CA$ 29.23","CA$ 243.80","1000","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218798941634560","500ML Temperature Display Thermos Cup Stainless Steel Divide","$26.75","CA$ 37.32","CA$ 127.33","32460","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218783376834560","VGR V-071 Professional Hair Trimmer — Rechargeable Cordless Clipper for Beard, Hair & Body Grooming","$15.63","CA$ 21.80","CA$ 159.82","16","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2085218776103649280","Fingerprint Smart Padlock — Keyless USB Rechargeable Biometric Security Lock for Gym, School & Travel","$16.09 ~ 56.42","CA$ 22.45~78.71","CA$ 103.92","200","Mapped to AliExpress (product-level)","Selected mapped SKU inspected: 2pcs padlock","Verified in DSers: AliExpress Selection Standard; CN; US $1.99; 8–13 days; tracking available","KERUI Fingerprint Padlock for Door Keyless Outdoor Waterproof Padlock USB Rechargeable Security Padlock Easy to Use"
"2085218769107484672","USB Desk Lamp 3 Levels Dimmable Touch Night Light USB Rechargeable","$13.13 ~ 22.67","CA$ 18.32~31.63","CA$ 138.22","24973","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
"2083032587397234688","Naturehike Waterproof Toiletry Bag — Large Capacity Travel Cosmetic Organizer for Camping, Gym & Beach","$12.31 ~ 16.57","CA$ 17.17~23.12","CA$ 40.23~73.45","132","Mapped to AliExpress (product-level)","Not fully inspected","Not inspected",""
